timestamp,machine_id,machine_type,temperature,vibration_level,power_consumption,pressure,material_flow_rate,cycle_time,error_rate,downtime,maintenance_flag,efficiency_score,production_status
10-03-2025 08:00,M003,Welder,78.3028789,2.043750941,23.0598555,5.088075726,20.01102601,118.1465104,0.883245895,0,0,11.67541046,0
10-03-2025 08:01,M004,Conveyor,80.87707571,2.175589831,16.01281399,5.412955759,18.37573921,123.0620583,0.777072942,38,0,3.292705781,0
10-03-2025 08:02,M001,Drill,71.31541791,2.154465079,15.75916416,5.769405395,17.11210668,122.7540642,0.757374176,37,0,5.762582396,0
10-03-2025 08:03,M003,Conveyor,76.49619771,2.245977576,16.49026761,4.618783815,21.09068372,118.9902697,0.796480892,39,0,0.851910751,0
10-03-2025 08:04,M003,CNC,73.61220202,2.097302063,18.06428629,5.431250158,20.86859236,113.7498717,0.813360983,0,0,18.66390173,0
10-03-2025 08:05,M004,Drill,86.82031656,7.222654797,20.04057209,4.965513161,20.70063642,121.528506,1,0,1,0,1
10-03-2025 08:06,M001,Welder,91.70081258,7.427526872,27.74665328,4.948130779,21.95439263,122.7571827,1,0,1,0,1
10-03-2025 08:07,M001,CNC,70.50532244,1.592744738,21.38709427,4.385387724,19.00245216,123.6291057,0.780886245,0,0,21.91137555,0
10-03-2025 08:08,M003,CNC,75.77748576,1.729798585,18.30281478,4.886084236,17.85332879,121.7464639,0.718755667,0,0,28.1244333,0
10-03-2025 08:09,M002,Welder,76.42137964,1.710739979,17.41462908,4.601094017,19.89495533,118.6444243,0.717481476,0,0,28.25185238,0
10-03-2025 08:10,M003,Welder,78.27769244,2.324016818,16.7636791,4.814458228,19.47874955,124.9700102,0.846162157,0,0,15.38378431,0
10-03-2025 08:11,M003,Conveyor,86.60067371,6.947796745,28.25262084,4.560725446,18.73655642,120.3292425,1,0,1,0,1
10-03-2025 08:12,M003,Drill,75.94855178,2.146191571,16.34833445,4.820436645,19.88022627,117.6753849,0.769582871,38,0,4.041712862,0
10-03-2025 08:13,M003,Welder,73.85148781,2.32157896,21.69279184,4.837555857,19.08259228,119.0967331,0.904796305,45,0,0,0
10-03-2025 08:14,M004,Welder,75.83584768,1.736215165,21.8667195,5.038701967,17.24599207,111.2701548,0.811233497,0,0,18.87665031,0
10-03-2025 08:15,M001,Drill,74.00092338,2.104578536,18.5135016,4.354100055,19.33823496,119.0887909,0.825167862,41,0,0,0
10-03-2025 08:16,M004,Welder,76.89724922,1.962447671,17.97696982,4.421792741,18.29543725,123.4421826,0.75491789,0,0,24.50821096,0
10-03-2025 08:17,M004,Welder,73.92573589,2.254064631,20.06131962,5.144765708,20.34747211,121.6989151,0.85555354,0,0,14.44464604,0
10-03-2025 08:18,M004,Conveyor,76.16790143,1.96543273,20.189597,4.681024753,19.01594786,127.6033209,0.840359946,0,0,15.96400542,0
10-03-2025 08:19,M003,CNC,74.95084515,1.884517133,16.38801654,5.429811916,21.66744721,118.6851254,0.727475415,36,0,9.252458512,0
10-03-2025 08:20,M002,CNC,78.41881769,2.162272556,16.94688973,5.090107889,22.4057991,122.4365658,0.794539886,0,0,20.54601142,0
10-03-2025 08:21,M001,CNC,74.88851911,2.26285075,15.35530513,5.24270486,21.01907206,123.9637009,0.806905272,0,0,19.30947276,0
10-03-2025 08:22,M002,CNC,69.72563623,1.799496442,18.81812988,5.564276928,17.67346073,131.714285,0.752272366,37,0,6.272763364,0
10-03-2025 08:23,M004,Welder,78.83253148,1.981677299,19.33325577,4.876115675,22.257794,120.7238275,0.827851757,0,0,17.21482426,0
10-03-2025 08:24,M004,Drill,72.33160342,1.68246781,15.30014872,4.770205318,22.36358068,114.7790641,0.691209274,34,0,13.87907263,0
10-03-2025 08:25,M002,Drill,73.08953466,1.250581695,17.08960219,5.348681034,20.02818577,124.2396438,0.603993093,0,0,39.60069074,0
10-03-2025 08:26,M002,Conveyor,73.26588314,2.060137889,15.30549216,5.203805426,21.98438924,129.3286368,0.743839364,37,0,7.116063636,0
10-03-2025 08:27,M002,Conveyor,79.17821465,2.182671607,16.20240038,4.925067876,19.17248729,118.3872564,0.787300137,0,0,21.26998634,0
10-03-2025 08:28,M004,Welder,68.64991107,2.078620043,19.10203412,5.556583187,17.2006311,124.2054077,0.841073097,42,0,0,0
10-03-2025 08:29,M004,Drill,,1.415131485,16.53303587,4.915102276,18.85957334,126.1436403,0.628882421,31,0,21.61175789,0
10-03-2025 08:30,M001,Drill,,1.894745171,17.39834809,5.013109455,22.5939513,125.0853277,0.766818118,38,0,4.318188188,0
10-03-2025 08:31,M001,CNC,75.7327505,1.334495672,14.74537654,5.00848906,17.76338011,120.6277926,0.610357035,0,0,38.96429652,0
10-03-2025 08:32,M004,Welder,74.9003851,2.410910332,18.37398042,4.626162442,19.99928192,116.5076312,0.891678507,44,0,0,0
10-03-2025 08:33,M002,Welder,75.92376267,1.674183625,17.91145336,5.031034156,20.05121584,119.5936023,0.738522806,36,0,8.147719355,0
10-03-2025 08:34,M002,CNC,76.63250108,2.376621083,16.5420815,5.558704071,19.23053863,122.2930023,0.841583569,0,0,15.84164315,0
10-03-2025 08:35,M001,Welder,77.0068139,2.283760893,17.6219714,5.177987326,19.3347176,124.5411126,0.854389395,42,0,0,0
10-03-2025 08:36,M004,Welder,76.74001389,1.729822894,18.36058976,5.012425371,20.1083737,121.6697252,0.721418906,0,0,27.85810942,0
10-03-2025 08:37,M001,Conveyor,75.34397588,,16.3702637,4.935293088,19.15675649,118.1004602,0.695056248,0,0,30.49437523,0
10-03-2025 08:38,M001,Drill,74.48525192,2.105111065,15.04747491,5.132346811,17.86691225,122.7768983,0.758565579,0,0,24.1434421,0
10-03-2025 08:39,M003,Welder,74.62548068,1.746702789,21.61114887,5.299906651,20.32254791,124.3004253,0.803522582,0,0,19.64774176,0
10-03-2025 08:40,M003,Conveyor,83.94585666,7.256574342,24.08120609,5.243695532,21.61004987,121.8980503,1,0,1,0,1
10-03-2025 08:41,M003,Drill,78.48467751,1.855151723,17.80647979,4.867254055,21.30435878,115.8190644,0.758282128,0,0,24.17178723,0
10-03-2025 08:42,M002,CNC,76.86607074,1.465652476,20.02167947,5.129912638,18.7853968,119.0929698,0.696158125,0,0,30.38418751,0
10-03-2025 08:43,M004,Conveyor,66.26626801,1.330859594,25.05811038,5.191975896,18.12315813,124.7391039,0.786454251,0,0,21.35457488,0
10-03-2025 08:44,M004,Conveyor,88.24288421,,23.25780334,4.597122005,19.57371818,113.084911,1,50,1,0,1
